Ano;Mes;Expresion monetaria;equivalencia; unidad monetaria original con actual;saldos;promedio mensual de saldos diarios
1940;enero; U$S ;1.000.000;1;493;
1940;febrero; U$S ;1.000.000;1;490;
1940;marzo; U$S ;1.000.000;1;495;
1940;abril; U$S ;1.000.000;1;495;
1940;mayo; U$S ;1.000.000;1;497;
1940;junio; U$S ;1.000.000;1;491;
1940;julio; U$S ;1.000.000;1;487;
1940;agosto; U$S ;1.000.000;1;483;
1940;septiembre; U$S ;1.000.000;1;477;
1940;octubre; U$S ;1.000.000;1;471;
1940;noviembre; U$S ;1.000.000;1;467;
1940;diciembre; U$S ;1.000.000;1;469;
1941;enero ; U$S ;1.000.000;1;488;
1941;febrero; U$S ;1.000.000;1;491;
1941;marzo; U$S ;1.000.000;1;496;
1941;abril; U$S ;1.000.000;1;500;
1941;mayo; U$S ;1.000.000;1;502;
1941;junio; U$S ;1.000.000;1;522;
1941;julio; U$S ;1.000.000;1;541;
1941;agosto; U$S ;1.000.000;1;552;
1941;septiembre; U$S ;1.000.000;1;550;
1941;octubre; U$S ;1.000.000;1;551;
1941;noviembre; U$S ;1.000.000;1;557;
1941;diciembre; U$S ;1.000.000;1;561;
1942;enero ; U$S ;1.000.000;1;552;
1942;febrero; U$S ;1.000.000;1;561;
1942;marzo; U$S ;1.000.000;1;574;
1942;abril; U$S ;1.000.000;1;523;
1942;mayo; U$S ;1.000.000;1;537;
1942;junio; U$S ;1.000.000;1;541;
1942;julio; U$S ;1.000.000;1;548;
1942;agosto; U$S ;1.000.000;1;555;
1942;septiembre; U$S ;1.000.000;1;577;
1942;octubre; U$S ;1.000.000;1;611;
1942;noviembre; U$S ;1.000.000;1;631;
1942;diciembre; U$S ;1.000.000;1;683;
1943;enero ; U$S ;1.000.000;1;685;
1943;febrero; U$S ;1.000.000;1;702;
1943;marzo; U$S ;1.000.000;1;734;
1943;abril; U$S ;1.000.000;1;773;
1943;mayo; U$S ;1.000.000;1;802;
1943;junio; U$S ;1.000.000;1;833;
1943;julio; U$S ;1.000.000;1;861;
1943;agosto; U$S ;1.000.000;1;888;
1943;septiembre; U$S ;1.000.000;1;926;
1943;octubre; U$S ;1.000.000;1;960;
1943;noviembre; U$S ;1.000.000;1;973;
1943;diciembre; U$S ;1.000.000;1;994;
1944;enero; U$S ;1.000.000;1;1123;
1944;febrero; U$S ;1.000.000;1;1168;
1944;marzo; U$S ;1.000.000;1;1179;
1944;abril; U$S ;1.000.000;1;1175;
1944;mayo; U$S ;1.000.000;1;1182;
1944;junio; U$S ;1.000.000;1;1207;
1944;julio; U$S ;1.000.000;1;1214;
1944;agosto; U$S ;1.000.000;1;1245;
1944;septiembre; U$S ;1.000.000;1;1263;
1944;octubre; U$S ;1.000.000;1;1276;
1944;noviembre; U$S ;1.000.000;1;1277;
1944;diciembre; U$S ;1.000.000;1;1296;
1945;enero; U$S ;1.000.000;1;1340;
1945;febrero; U$S ;1.000.000;1;1357;
1945;marzo; U$S ;1.000.000;1;1396;
1945;abril; U$S ;1.000.000;1;1425;
1945;mayo; U$S ;1.000.000;1;1452;
1945;junio; U$S ;1.000.000;1;1470;
1945;julio; U$S ;1.000.000;1;1513;
1945;agosto; U$S ;1.000.000;1;1554;
1945;septiembre; U$S ;1.000.000;1;1584;
1945;octubre; U$S ;1.000.000;1;1613;
1945;noviembre; U$S ;1.000.000;1;1618;
1945;diciembre; U$S ;1.000.000;1;1639;
1946;enero; U$S ;1.000.000;1;1461;
1946;febrero; U$S ;1.000.000;1;1458;
1946;marzo; U$S ;1.000.000;1;1476;
1946;abril; U$S ;1.000.000;1;1495;
1946;mayo; U$S ;1.000.000;1;1638;
1946;junio; U$S ;1.000.000;1;1803;
1946;julio; U$S ;1.000.000;1;1833;
1946;agosto; U$S ;1.000.000;1;1811;
1946;septiembre; U$S ;1.000.000;1;1844;
1946;octubre; U$S ;1.000.000;1;1721;
1946;noviembre; U$S ;1.000.000;1;1698;
1946;diciembre; U$S ;1.000.000;1;1733;
1947;enero ; U$S ;1.000.000;1;1786;
1947;febrero; U$S ;1.000.000;1;1746;
1947;marzo; U$S ;1.000.000;1;1667;
1947;abril; U$S ;1.000.000;1;1589;
1947;mayo; U$S ;1.000.000;1;1520;
1947;junio; U$S ;1.000.000;1;1358;
1947;julio; U$S ;1.000.000;1;1305;
1947;agosto; U$S ;1.000.000;1;1271;
1947;septiembre; U$S ;1.000.000;1;1224;
1947;octubre; U$S ;1.000.000;1;1163;
1947;noviembre; U$S ;1.000.000;1;1152;
1947;diciembre; U$S ;1.000.000;1;1176;
1948;enero ; U$S ;1.000.000;1;1200;
1948;febrero; U$S ;1.000.000;1;1241;
1948;marzo; U$S ;1.000.000;1;1041;
1948;abril; U$S ;1.000.000;1;1002;
1948;mayo; U$S ;1.000.000;1;987;
1948;junio; U$S ;1.000.000;1;953;
1948;julio; U$S ;1.000.000;1;744;
1948;agosto; U$S ;1.000.000;1;716;
1948;septiembre; U$S ;1.000.000;1;671;
1948;octubre; U$S ;1.000.000;1;628;
1948;noviembre; U$S ;1.000.000;1;580;
1948;diciembre; U$S ;1.000.000;1;772;
1949;enero; U$S ;1.000.000;1;761;
1949;febrero; U$S ;1.000.000;1;793;
1949;marzo; U$S ;1.000.000;1;843;
1949;abril; U$S ;1.000.000;1;854;
1949;mayo; U$S ;1.000.000;1;829;
1949;junio; U$S ;1.000.000;1;851;
1949;julio; U$S ;1.000.000;1;870;
1949;agosto; U$S ;1.000.000;1;914;
1949;septiembre; U$S ;1.000.000;1;945;
1949;octubre; U$S ;1.000.000;1;543;
1949;noviembre; U$S ;1.000.000;1;533;
1949;diciembre; U$S ;1.000.000;1;526;
1950;enero; U$S ;1.000.000;1;533;
1950;febrero; U$S ;1.000.000;1;558;
1950;marzo; U$S ;1.000.000;1;609;
1950;abril; U$S ;1.000.000;1;650;
1950;mayo; U$S ;1.000.000;1;719;
1950;junio; U$S ;1.000.000;1;747;
1950;julio; U$S ;1.000.000;1;765;
1950;agosto; U$S ;1.000.000;1;749;
1950;septiembre; U$S ;1.000.000;1;577;
1950;octubre; U$S ;1.000.000;1;606;
1950;noviembre; U$S ;1.000.000;1;645;
1950;diciembre; U$S ;1.000.000;1;704;
1951;enero ; U$S ;1.000.000;1;756;
1951;febrero; U$S ;1.000.000;1;821;
1951;marzo; U$S ;1.000.000;1;951;
1951;abril; U$S ;1.000.000;1;998;
1951;mayo; U$S ;1.000.000;1;1053;
1951;junio; U$S ;1.000.000;1;1070;
1951;julio; U$S ;1.000.000;1;1036;
1951;agosto; U$S ;1.000.000;1;975;
1951;septiembre; U$S ;1.000.000;1;853;
1951;octubre; U$S ;1.000.000;1;707;
1951;noviembre; U$S ;1.000.000;1;596;
1951;diciembre; U$S ;1.000.000;1;569;
1952;enero ; U$S ;1.000.000;1;527;
1952;febrero; U$S ;1.000.000;1;579;
1952;marzo; U$S ;1.000.000;1;569;
1952;abril; U$S ;1.000.000;1;456;
1952;mayo; U$S ;1.000.000;1;448;
1952;junio; U$S ;1.000.000;1;392;
